suburb,branchCode,speedDial,region,phone1,phone2,fax,email,manager,managerPhone,supervisor,supervisorPhone,supervisor2,supervisor2Phone,daysHomeVisit,hoursOpen,saturdayHoursOpen,dom1,dom2,dom3,dom4
Maroota,2RI,*020668,Richmond     ,4588 8707,,,,,,,,,,WED,8-4pm,,,,,
Maroubra,2MC,*020625,Mascot,8339 0622,,,,,,,,,,TUE/WE/FR,7.30-3.30pm,,,,,
Maroubra Junction,2MC,*020625,Mascot,8339 0622,,,,,,,,,,TUE/WE/FR,7.30-3.30pm,,,,,
Marrickville,FD,*020223,Five Dock       ,9712 1387,,,,,,,,,,TUE/FRI,8-5pm,,,,,
Marsden Park,BK,*020013,Blacktown,9622 2608,,,,,,,,,,TUE/FRI,7.30-3.30pm,,,,,
Marsfield,2EG,*020782,Epping     ,8650 1567,,,,,,,,,,TU/WE/FRI,7.30-3.30pm,,,,,
Martinsville,TT,*020284,Toronto          ,4959 6599,,,,,,,,,,,7.30-6pm,,,,,
Maryland,2LB,2704,Broadmeadow       ,4907 3714,,,,,,,,,,,7.30-4pm,,,,,
Maryville,2LB,2704,Broadmeadow       ,4907 3714,,,,,,,,,,,7.30-4pm,,,,,
Mascot,2MC,*020625,Mascot,8339 0622,,,,,,,,,,DAILY(M-F),7.30-3.30pm,,,,,
Masonic Towers,AS,*020139,Asquith          ,9476 5975,,,,,,,,,,,8-4pm,,,,,
Matraville,2MC,*020625,Mascot,8339 0622,,,,,,,,,,THUR,7.30-3.30pm,,,,,
Mayfield,2LB,2704,Broadmeadow         ,4907 3714,,,,,,,,,,,7.30-4pm,,,,,
Mays Hill,WE,*020237,Wentworthville  ,9636 5734,,,,,,,,,,M/W/F,7.30-4pm,,,,,
Mcgraths Hill,2RI,*020668,Richmond     ,4588 8707,,,,,,,,,,WED,8-4pm,,,,,
Mcmahons Point,NB,*020042,Northbridge      ,9958 4724,,,,,,,,,,MON/THU,8-4pm,,,,,
Mcmasters Beach,GO,*020254,Gosford     ,4337 3555,,,,,,,,,,,7.30-5.30pm,,,,,
Meadowbank,GV,*020043,Gladesville    ,9879 3652,,,,,,,,,,MO/WE/FRI,8-4pm,,,,,
Medlow Bath,KA,*020344,Katoomba     ,4782 2522,,,,,,,,,,B&S,8-5pm,,,,,
Medowie,NQ,*020459,Nelson Bay,4984 1004,,,,,,,,,,,8-4pm,,,,,
Melrose Park,GV,*020043,Gladesville    ,9789 3652,,,,,,,,,,,8-4pm,,,,,
Menai,MC,,Hurstville  ,9586 2411,,,,,,,,,,MO/WE/FR,8-4pm,,,,,
Menangle,CM,*020335,Camden,4655 9688,,,,,,,,,,MON,7.30-5pm,,,,,
Menangle Park,CM,*020335,Camden,4655 9688,,,,,,,,,,,7.30-5pm,,,,,
Mereweather,2LB,2704,Broadmeadow       ,4907 3714,,,,,,,,,,,7.30-4pm,,,,,
Merrylands,WE/FA,*020237,Wentworthville   ,9636 5734,,,,,,,,,,MO/WE/FR,7.30-4pm,,,,,
Metford,2ES,TBA,East Maitland,4064 4515,,,,,,,,,,Mon-Thu,7-3pm,,,,,
Middle Cove,NB,*020042,Northbridge      ,9958 4724,,,,,,,,,,MON-FRI,8-4pm,,,,,
Middle Dural,2YD,*020846,Dural,8650 1377,,,,,,,,,,WED,8-4pm,,,,,
Middleton Grange,2XJ,*020722,Casula,8650 1336,,,,,,,,,,MON,7-5.30pm,,,,,
Miller,2XJ,*020722,Casula,8650 1336,,,,,,,,,,WED/FRI,7-5.30pm,,,,,
Millers Point,BZ,*020144,Bondi       ,9389 5983,,,,,,,,,,THUR,7.30-4.30pm,,,,,
Milperra,2XH,*020142,Bankstown   ,9708 6363,,,,,,,,,,WED/FRI,8-5pm,,,,,
Milsons Point,NB,*020042,Northbridge    ,9958 4724,,,,,,,,,,MON/THU,8-4pm,,,,,
Minchinbury,BK,*020013,Blacktown,9622 2608,,,,,,,,,,WED,7.30-3.30pm,,,,,
Minto,CP,*020339,Campbelltown,4626 3483,,,,,,,,,,TUE/THU,7-6pm,,,,,
Miranda,AL,*020437,Cronulla,9523 7726,,,,,,,,,,WED,7.30-4pm,,,,,
Mirrabooka,TT,*020284,Toronto          ,4959 6599,,,,,,,,,,,7.30-6pm,,,,,
Mittagong,2IB,*020879,Bowral           ,8650 1352,,,,,,,,,,,8-4pm,,,,,
Mona Vale,VM,*020412,Mona Vale (Gateway),9997 8051,,,,,,,,,,MON/WED,8-4pm,,,,,
Monterey,MC,,Hurstville  ,9586 2411,,,,,,,,,,MO/WE/FR,8-4pm,,,,,
Montifiore N/H Randwick,BZ,*020144,Bondi,9389 5983,,,,,,,,,,,7.30-4.30pm ,,,,,
Mooney Mooney,GO,*020254,Gosford,4337 3555,,,,,,,,,,,7.30-5.30pm,,,,,
Moore Park,2MC,*020625,Mascot,8339 0622,,,,,,,,,,,7.30-3.30pm,,,,,
Moorebank,2XJ,*020722,Casula,8650 1336,,,,,,,,,,WED/FRI,7-5.30pm,,,,,
Morisset,TT,*020284,Toronto          ,4959 6599,,,,,,,,,,,7.30-6pm,,,,,
Morisset Park,TT,*020284,Toronto          ,4959 6599,,,,,,,,,,,7.30-6pm,,,,,
Morpeth,2ES,TBA,East Maitland,4064 4515,,,,,,,,,,Mon-Thu,7-3pm,,,,,
Mortdale,MC,,Hurstville   ,9586 2411,,,,,,,,,,MO/WE/FR,8-4pm,,,,,
Mortlake,FD,*020223,Five Dock       ,9712 1387,,,,,,,,,,THU,8-5pm,,,,,
Mosman   ,MM,*020041,Mosman ,9968 1832,,,,,,,,,,,8-5pm,,,,,
Moss Vale,2IB,*020879,Bowral           ,4869 2366,,,,,,,,,,,8-4pm,,,,,
Mount Annan,CM,*020335,Camden,4655 9688,,,,,,,,,,THU,7.30-5pm,,,,,
Mount Druitt,BK,*020013,Blacktown,9622 2608,,,,,,,,,,WED,7.30-3.30pm,,,,,
Mount Pleasant,EP,*020580,Emu Plains,4735 6201,,,,,,,,,,B&S,8-4pm,,,,,
Mount Pritchard,2XJ,*020722,Casula,8650 1336,,,,,,,,,,WED/FRI,7-5.30pm,,,,,
Mt Colah,AS,*020139,Asquith           ,9476 5975,,,,,,,,,,,8-4pm,,,,,
Mt Hunter,CM,*020335,Camden,4655 9688,,,,,,,,,,FRI,7.30-5pm,,,,,
Mt Hutton,2LB,2704,Broadmeadow       ,4907 3714,,,,,,,,,,,7.30-4pm,,,,,
Mt Kurringai,AS,*020139,Asquith         ,9476 5975,,,,,,,,,,,8-4pm,,,,,
Mt Lewis,2XH,*020142,Bankstown     ,9708 6363,,,,,,,,,,TUE,8-5pm,,,,,
Mt Riverview,EP,*020580,Emu Plains,4735 6201,,,,,,,,,,B&S,8-4pm,,,,,
Mt Vernon,FA,*020222,Fairfield      ,9726 1131,,,,,,,,,,TUE/THU,7.30-4pm,,,,,
Mt Victoria,KT,*020948,Katoomba      ,4782 4181,,,,,,,,,,B&S,8-4pm,,,,,
Mulgoa,EP,*020580,Emu Plains,4735 6201,,,,,,,,,,B&S,8-4pm,,,,,
Mulgrave,2RI,*020668,Richmond     ,4588 8707,,,,,,,,,,TUE/FRI,8-4pm,,,,,
Narara,GO,*020254,Gosford,4337 3555,,,,,,,,,,,7.30-5.30pm,,,,,
Narellan   ,CM,*020335,Camden,4655 9688,,,,,,,,,,TUE,7.30-5pm,,,,,
Naremburn,NB,*020042,Northbridge       ,9958 4724,,,,,,,,,,MON/THU,8-4pm,,,,,
Narrabeen,VM,*020412,Mona Vale (Gateway),9997 8051,,,,,,,,,,MON,8-4pm,,,,,
Narrabeen (War Vets),DH,*020219,Dee Why    ,9971 9114,,,,,,,,,,,7.30-5pm,,,,,
Narraweena,DH,*020219,Dee Why    ,9971 9114,,,,,,,,,,MO/WE/FR,7.30-5pm,,,,,
Narwee,MC,,Hurstville  ,9586 2411,,,,,,,,,,TUE/THUR,8-4pm,,,,,
Neath,2ES,TBA,East Maitland,4064 4515,,,,,,,,,,Mon-Thu,7-3pm,,,,,
Nelson,2RI,*020668,Richmond ,4588 8707,,,,,,,,,,FRI,8-4pm,,,,,
Nelson Bay,NQ,*020459,Nelson Bay,4984 1004,,,,,,,,,,,8-4pm,,,,,
Nelson’S Ridge,WE,*020237,Wentworthville ,9636 5734,,,,,,,,,,TUE/THU,7.30-4pm,,,,,
Neutral Bay,MM,*020041,Mosman ,9968 1832,,,,,,,,,,M/W/F,7.30-5pm,,,,,
New Lambton,2LB,2704,Broadmeadow        ,4907 3714,,,,,,,,,,,7.30-4pm,,,,,
Newcastle,2LB,2704,Broadmeadow       ,4907 3714,,,,,,,,,,,7.30-4pm,,,,,
Newington,FD,*020223,Five Dock        ,9712 1387,,,,,,,,,,WED,8-5pm,,,,,
Newport,VM,*020412,Mona Vale (Gateway),9997 8051,,,,,,,,,,TUE,8-4pm,,,,,
Newtown,FD,*020223,Five Dock,9712 1387,,,,,,,,,,WED/FRI,8-5pm,,,,,
Niagara Park,GO,*020254,Gosford     ,4337 3555,,,,,,,,,,,7.30-5.30pm,,,,,
Norah Head,TG,,Tuggerah,4353 9668,,,,,,,,,,,8-4pm,,,,,
Noraville,TG,,Tuggerah,4353 9668,,,,,,,,,,,8-4pm,,,,,
Nords Wharf,2LB,2704,Broadmeadow        ,4907 3714,,,,,,,,,,,7.30-4pm,,,,,
Normanhurst,AS,*020139,Asquith,9476 5975,,,,,,,,,,,8-4pm,,,,,
North Arm Cove,NQ,*020459,Nelson Bay,4984 1004,,,,,,,,,,,8-4pm,,,,,
North Bondi,BZ,*020144,Bondi       ,9389 5983,,,,,,,,,,,7.30-4.30pm,,,,,
North Epping,2EG,*020782,Epping       ,8650 1567,,,,,,,,,,WED,7.30-3.30pm,,,,,
North Manly,DH,*020219,Dee Why,9971 9114,,,,,,,,,,TUE/THU,7.30-5pm,,,,,
North Richmond,2RI,*020668,Richmond ,4588 8707,,,,,,,,,,MON/THU,8-4pm,,,,,
North Rocks,2EG,*020782,Epping       ,8650 1567,,,,,,,,,,MON/THU,7.30-3.30pm,,,,,
North Ryde,2EG,*020782,Epping       ,8650 1567,,,,,,,,,,MON/THU,7.30-3.30pm,,,,,
